ARI,SEA,@NE,PHI,MIA,@LAR,BUF,@MIN,SF,@GB,BYE,@ATL,LAR,@NYJ,@SEA,DET,CHI,@SF
ATL,@KC,DEN,@LAC,CAR,@WAS,OAK,BYE,@PHI,DAL,@NO,ARI,@TB,NO,@CAR,NYG,@DET,TB
BAL,CIN,@PHI,NE,CLE,@KC,DAL,@HOU,BYE,@CLE,OAK,@PIT,@LAC,PIT,@WAS,DEN,NYG,@CIN
BUF,@NYJ,KC,@CLE,NE,@SF,@ARI,TEN,BYE,@HOU,@NE,MIA,@IND,JAX,LAR,SEA,@MIA,NYJ
CAR,@TB,NO,NYG,@ATL,SEA,BYE,DAL,@CHI,@WAS,DEN,TB,@PHI,@KC,ATL,@LAC,OAK,@NO
CHI,IND,@GB,LAR,@DAL,@JAX,BYE,DET,CAR,@TEN,HOU,@SF,MIN,SEA,@MIN,GB,@ARI,@DET
CIN,@BAL,CLE,@WAS,@JAX,MIA,@CLE,PIT,BYE,DEN,NYG,@KC,OAK,@LAC,DAL,@PHI,@PIT,BAL
CLE,PHI,@CIN,BUF,@BAL,@NYG,CIN,@IND,LAC,BAL,BYE,@DAL,PIT,@OAK,KC,WAS,@DEN,@PIT
DAL,@NYG,@SEA,TB,CHI,BYE,@BAL,@CAR,NYG,@ATL,@PHI,CLE,WAS,PHI,@CIN,PIT,NO,@WAS
DEN,PIT,@ATL,HOU,OAK,@NE,@LAC,BYE,NO,@CIN,@CAR,LAC,@KC,TB,@OAK,@BAL,CLE,KC
DET,LAR,@SF,@TEN,MIN,BYE,@PHI,@CHI,SEA,@JAX,@MIN,GB,HOU,IND,@GB,@ARI,ATL,CHI
GB,SF,CHI,@SEA,NO,@IND,@HOU,@LAR,JAX,ARI,BYE,@DET,@NYG,MIN,DET,@CHI,TEN,@MIN
HOU,MIA,@JAX,@DEN,TEN,@NYJ,GB,BAL,BYE,BUF,@CHI,JAX,@DET,@TEN,@NE,IND,MIN,@IND
IND,@CHI,MIN,JAX,BYE,GB,@NYJ,CLE,@TEN,MIA,@JAX,@NE,BUF,@DET,TEN,@HOU,@KC,HOU
JAX,@MIN,HOU,@IND,CIN,CHI,BYE,@OAK,@GB,DET,IND,@HOU,TEN,@BUF,NYJ,@MIA,NE,@TEN
KC,ATL,@BUF,@NO,LAC,BAL,@TB,BYE,OAK,@LAC,@PIT,CIN,DEN,CAR,@CLE,@OAK,IND,@DEN
LAR,@DET,WAS,@CHI,SEA,ARI,@MIA,GB,NE,BYE,@SF,NYJ,@ARI,SF,@BUF,MIN,@TB,@SEA
MIA,@HOU,OAK,NYJ,@ARI,@CIN,LAR,BYE,@NYJ,@IND,TEN,@BUF,SEA,NE,@SF,JAX,BUF,@NE
MIN,JAX,@IND,SF,@DET,TEN,@WAS,ARI,TB,@SEA,DET,BYE,@CHI,@GB,CHI,@LAR,@HOU,GB
NE,@TEN,ARI,@BAL,@BUF,DEN,@SEA,NYJ,@LAR,BYE,BUF,IND,@NYJ,@MIA,HOU,SF,@JAX,MIA
NO,WAS,@CAR,KC,@GB,LAC,BYE,@TB,@DEN,PHI,ATL,@OAK,SF,@ATL,@NYG,TB,@DAL,CAR
NYG,DAL,TB,@CAR,@PHI,CLE,@SF,WAS,@DAL,PIT,@CIN,BYE,GB,@WAS,NO,@ATL,@BAL,PHI
NYJ,BUF,@PIT,@MIA,SF,HOU,IND,@NE,MIA,BYE,@SEA,@LAR,NE,ARI,@JAX,@TEN,LAC,@BUF
OAK,LAC,@MIA,PIT,@DEN,BYE,@ATL,JAX,@KC,TB,@BAL,NO,@CIN,CLE,DEN,KC,@CAR,@LAC
PHI,@CLE,BAL,@ARI,NYG,@PIT,DET,BYE,ATL,@NO,DAL,@WAS,CAR,@DAL,@TB,CIN,WAS,@NYG
PIT,@DEN,NYJ,@OAK,BYE,PHI,@TEN,@CIN,WAS,@NYG,KC,BAL,@CLE,@BAL,LAC,@DAL,CIN,CLE
LAC,@OAK,TEN,ATL,@KC,@NO,DEN,BYE,@CLE,KC,@TB,@DEN,BAL,CIN,@PIT,CAR,@NYJ,OAK
SF,@GB,DET,@MIN,@NYJ,BUF,NYG,SEA,@ARI,BYE,LAR,CHI,@NO,@LAR,MIA,@NE,@SEA,ARI
SEA,@ARI,DAL,GB,@LAR,@CAR,NE,@SF,@DET,MIN,NYJ,BYE,@MIA,@CHI,ARI,@BUF,SF,LAR
TB,CAR,@NYG,@DAL,WAS,BYE,KC,NO,@MIN,@OAK,LAC,@CAR,ATL,@DEN,PHI,@NO,LAR,@ATL
TEN,NE,@LAC,DET,@HOU,@MIN,PIT,@BUF,IND,CHI,@MIA,BYE,@JAX,HOU,@IND,NYJ,@GB,JAX
WAS,@NO,@LAR,CIN,@TB,ATL,MIN,@NYG,@PIT,CAR,BYE,PHI,@DAL,NYG,BAL,@CLE,@PHI,DAL
